LINK_ID,F_NODE,T_NODE,ROAD_NAME,ROAD_NO,ROAD_RANK,ROAD_TYPE,LANES,MAX_SPD,LENGTH,UPDATEDATE,geometry_length_m,seongnam_overlap_m,seongnam_overlap_ratio,seongnam_position,inside_seongnam
2040000607,2040000405,2040000404,대왕판교로,23,105,000,4,50,12.078759982516,20250512,12.07875998251618,12.07875998251618,1.0,inside,True
2040000608,2040000409,2040000408,대왕판교로,23,105,000,4,50,12.03473543048,20250512,12.03473543048044,12.03473543048044,1.0,inside,True
2040000609,2040000802,2040000801,대왕판교로,23,105,000,4,50,13.1684485579,20250512,13.16844855789968,13.16844855789968,1.0,inside,True
2040000610,2040000419,2040000418,대왕판교로,23,105,000,4,60,12.003675988988,20250512,12.003675988988222,12.003675988988222,1.0,inside,True
2040000611,2049000800,2040000405,대왕판교로,23,105,000,4,50,113.658627175651,20250512,113.65862717565076,113.65862717565076,1.0,inside,True
2040000612,2049001000,2049000800,대왕판교로,23,105,003,4,50,28.154840907877,20250512,28.15484090787688,28.15484090787688,1.0,inside,True
2040000901,2040000701,2040001102,청계산로,-,107,000,1,50,295.752004589216,20250512,295.7520045892165,295.7520045892165,1.0,inside,True
2040000902,2040000602,2040000701,청계산로,-,107,003,1,50,66.883142968469,20250512,66.88314296846893,66.88314296846893,1.0,inside,True
2040000903,2040001302,2040000602,청계산로,-,107,000,1,50,318.090573064643,20250512,318.0905730646425,318.0905730646425,1.0,inside,True
2040000904,2040001402,2040001302,청계산로,-,107,003,1,50,51.341539445666,20250512,51.34153944566554,51.34153944566554,1.0,inside,True
2040000905,2040001504,2040001402,청계산로,-,107,000,1,50,91.451872589137,20250512,91.45187258913695,91.45187258913695,1.0,inside,True
2040001001,2040001101,2040000702,청계산로,-,107,000,1,50,293.210625180453,20250512,293.2106251804526,293.2106251804526,1.0,inside,True
2040001002,2040000702,2040000601,청계산로,-,107,003,1,50,69.064392544257,20250512,69.06439254425683,69.06439254425683,1.0,inside,True
2040001003,2040000601,2049193400,청계산로,-,107,000,1,50,141.894210887879,20250512,141.89421088787884,141.89421088787884,1.0,inside,True
2040001004,2040001301,2040001401,청계산로,-,107,003,1,50,54.784823239818,20250512,54.78482323981748,54.78482323981748,1.0,inside,True
